,Fire_Name,Lat,Long,Fire_Year,Fire_Month,Total_area_burned(ha),Unchanged(ha),Low_Severity(ha),Moderate_Severity(ha),High_Severity(ha),FuelTreatment,TSLF(months)
1223,ROCKY,35.481,-118.751,1995,7,743.58,2.43,67.86,663.93,8.46,0,0
833,LUCAS COMPLEX,35.481,-118.691,1994,6,3695.31,20.16,1659.6,1959.66,8.91,0,0
1558,UNNAMED,35.483,-118.713,1988,7,709.38,5.76,414.9,282.87,0.0,0,0
737,KINGS,35.491,-118.463,2000,8,1267.74,0.0,457.83,551.7,236.25,0,0
1109,PIUTE,35.495,-118.34,2008,6,14669.01,1.8,3858.93,7387.47,3083.67,0,0
513,GARDEN,35.518,-118.645,2017,7,598.77,0.36,223.29,337.59,34.29,0,0
1130,POSO,35.525,-118.997,1997,8,914.85,0.0,28.35,528.03,358.47,0,0
1110,PIUTE COMPLEX,35.527,-118.448,2012,8,603.99,0.18,175.23,257.58,161.91,0,0
557,GRANITE,35.537,-118.953,1997,5,585.09,0.0,11.97,405.99,167.13,0,0
1098,PINE,35.539,-118.834,2005,9,768.42,1.71,201.69,553.14,11.79,0,0
17,AERA,35.548,-118.974,1998,7,834.21,0.72,38.43,710.55,84.51,0,0
1587,UNNAMED,35.548,-118.974,1993,8,750.51,2.34,119.43,605.79,22.95,0,0
242,CANYON,35.554,-118.542,2010,9,4475.52,18.63,2374.11,1641.87,414.54,0,7
453,ERSKINE,35.569,-118.334,2016,6,19454.31,5.31,12138.12,6396.84,171.27,0,0
228,CALL BOX,35.57,-118.59,1992,5,651.24,0.0,245.97,400.23,0.18,0,0
146,BODFISH,35.579,-118.388,1984,7,9384.21,0.72,5105.16,3603.6,552.24,0,0
626,HIGHWAY,35.586,-118.574,2017,6,686.07,0.0,225.63,454.95,2.25,0,0
1549,UNNAMED,35.589,-120.206,1992,7,488.34,3.69,0.0,484.65,0.0,0,0
160,BOREL,35.589,-118.564,1996,8,1116.81,0.18,572.49,510.03,31.86,0,0
1533,UNNAMED,35.593,-120.388,1994,6,642.78,4.59,317.79,320.4,0.0,0,0
1150,QUAIL COMPLEX,35.605,-119.067,2017,7,808.92,0.18,432.0,376.47,0.27,0,0
159,BOREL,35.607,-118.5,2002,6,1411.29,18.99,1212.66,173.52,0.45,0,0
258,CARO,35.608,-119.837,2005,7,532.35,0.0,434.16,97.56,0.0,0,0
1678,WOODROW,35.611,-118.446,1984,5,452.34,0.0,0.0,448.29,0.09,0,0
700,JACKS,35.623,-118.088,1997,8,2160.18,0.18,311.94,785.07,928.98,0,0
7,46,35.624,-119.789,1995,6,1883.88,58.86,131.58,1614.06,77.85,0,0
185,BROWN,35.624,-119.768,2007,6,546.93,1.71,0.0,181.35,363.42,0,0
1303,SHERWOOD,35.628,-119.052,1995,5,487.98,0.0,32.4,428.58,27.0,0,0
966,NICOLLS,35.631,-118.142,2014,7,745.11,0.27,161.28,320.85,247.14,0,0
761,LAKELAND,35.642,-118.442,1994,6,1100.07,0.45,340.29,751.32,4.41,0,0
343,COVE,35.65,-118.365,2011,5,573.57,1.35,186.66,326.61,54.0,0,1
529,GILBRETH,35.674,-119.596,1996,7,1896.66,2.52,314.73,1488.06,91.35,0,0
865,MCMILLAN,35.677,-120.373,2019,6,784.62,26.19,138.6,592.2,27.27,0,0
963,NET,35.688,-120.08,2006,8,628.38,0.0,102.06,373.68,41.22,0,0
528,GILBREATH,35.688,-119.611,1995,7,554.49,9.54,41.58,411.12,92.25,0,1
382,DAVIS,35.689,-120.212,2002,6,883.44,6.03,264.78,590.04,22.59,0,0
1586,UNNAMED,35.689,-119.609,1998,8,707.13,10.08,30.33,563.76,102.96,0,8
1471,TOWER,35.69,-118.412,1997,7,620.73,0.0,113.13,502.83,3.96,0,1
968,NINE,35.693,-118.422,2005,7,501.84,0.45,103.59,392.4,5.22,0,0
1307,SHIRLEY,35.702,-118.517,2014,6,1131.21,0.18,337.5,591.12,201.42,0,0
1566,UNNAMED,35.704,-119.994,1988,7,939.42,0.9,202.86,691.56,0.54,0,1
546,GOOSE,35.705,-119.635,1996,7,674.91,7.65,64.71,544.68,57.87,0,1
1188,REFUGE,35.707,-119.617,2019,5,1379.61,11.7,297.72,1019.25,50.94,0,1
672,INDIAN,35.708,-117.968,2010,7,769.32,0.63,308.88,346.95,21.42,0,0
1525,UNNAMED,35.721,-120.017,1997,6,481.05,61.38,65.07,267.93,83.97,0,1
1633,WAY,35.735,-118.461,2014,8,1597.86,0.18,460.26,986.58,112.59,0,0
283,CHIMNEY,35.738,-121.075,2016,8,18999.72,36.0,7225.2,8877.06,2838.69,0,1
1009,ORCHARD,35.74,-120.074,1993,6,9029.88,1243.53,1273.59,5508.99,244.71,0,0
1543,UNNAMED,35.742,-120.035,1988,7,1604.25,343.26,225.81,826.02,7.65,0,0
231,CAMP ROBERTS,35.744,-120.802,2016,5,1785.87,0.63,318.24,1442.61,24.3,0,0
1648,WHITE BLANKET,35.747,-118.177,1994,6,1037.43,1.08,174.24,721.8,52.29,0,0
703,JAMES,35.749,-118.398,2007,4,841.86,0.0,0.18,831.42,0.72,0,2
1152,QUINN,35.756,-118.896,2011,6,1319.22,0.0,87.48,1220.13,11.61,0,1
401,DEVIL,35.757,-119.997,2006,6,459.09,170.46,34.38,218.43,32.58,0,0
1324,SIERRA,35.763,-118.406,1996,6,464.04,0.0,201.06,254.25,0.27,0,0
224,CALDWELL,35.765,-118.381,2017,9,615.06,0.0,344.61,201.87,18.72,1,0
461,FAY,35.765,-118.286,1987,8,4117.86,1.44,1534.23,1582.29,738.09,0,0
1527,UNNAMED,35.768,-120.831,2005,6,517.14,2.97,39.42,446.94,27.72,0,0
1048,PARKFIELD,35.778,-120.674,2017,7,756.99,36.72,76.5,569.16,74.34,0,0
1263,SAND 2,35.783,-117.966,2010,7,440.37,0.0,115.38,211.68,18.9,0,13
269,CEDAR,35.791,-118.571,2016,8,11813.4,6.75,1565.37,3067.83,7104.33,1,0
1406,STORMY,35.804,-118.526,1990,8,9373.77,7.74,884.07,2900.52,5468.13,0,0
1534,UNNAMED,35.807,-120.817,2000,6,647.82,0.09,0.0,647.73,0.0,0,1
663,HWY 33 II,35.807,-120.016,1996,5,1357.56,170.91,88.2,1072.44,3.06,0,0
1488,TURKEY,35.81,-120.32,2018,8,938.25,4.95,82.26,751.59,99.45,0,0
739,KINGSTON,35.81,-115.916,2005,7,1512.99,0.0,771.93,698.76,0.0,0,0
198,BULL,35.812,-118.45,2010,7,6979.05,45.36,2764.89,3681.0,420.3,0,0
1521,UNNAMED,35.814,-120.797,1998,6,3621.78,79.47,2905.47,626.67,9.99,0,0
29,ALPAUGH,35.821,-119.511,2006,5,607.86,0.72,143.64,437.13,26.37,0,0
72,BALES,35.821,-118.994,2010,6,409.77,0.0,0.0,409.77,0.0,0,1
1537,UNNAMED,35.83,-120.796,2000,6,735.48,2.52,0.09,732.78,0.09,0,0
1487,TURKEY,35.831,-120.282,2012,7,1095.57,9.63,0.18,563.76,522.0,0,1
1690,YORK,35.851,-120.179,1994,6,414.9,10.53,45.81,325.8,19.53,0,0
282,CHIMNEY,35.855,-118.025,2016,6,597.6,0.0,64.26,151.02,127.89,0,48
1575,UNNAMED,35.857,-121.391,1985,8,2940.75,27.63,1455.75,1081.89,332.37,0,0
1552,UNNAMED,35.861,-120.561,1985,7,614.16,1.17,90.99,457.92,61.74,0,0
189,BRYSON,35.863,-121.043,2009,8,1498.59,0.0,334.35,1010.7,144.99,0,0
543,GOLDLEDGE,35.878,-118.428,2007,6,1686.78,0.09,269.37,1123.83,245.16,0,0
479,FLAT TOP,35.899,-120.134,1984,5,2706.75,172.62,0.0,996.57,477.09,0,0
664,HWY 41,35.901,-119.999,1996,5,2110.77,86.67,160.74,1621.17,206.46,0,0
831,LOWES,35.903,-120.563,1985,7,1096.65,12.51,826.92,243.45,9.45,0,0
89,BASHAM,35.904,-120.716,1994,6,541.08,7.2,332.19,200.25,1.44,0,1
1570,UNNAMED,35.909,-121.202,2000,8,1867.05,586.62,1255.68,16.56,1.17,0,0
1518,UNNAMED,35.915,-121.209,2002,6,1385.55,0.0,536.94,758.43,89.46,0,0
1489,TURKEYTR,35.919,-119.434,1992,6,476.1,10.53,3.51,462.06,0.0,0,1
713,JOLON,35.92,-120.991,1992,6,639.45,8.91,176.58,354.51,99.45,0,0
1111,PIXLEY,35.922,-119.365,1993,6,544.59,0.09,118.44,420.93,5.13,0,0
1113,PLASKETT 2,35.924,-121.414,2000,7,2356.83,3.51,749.88,1036.08,551.25,0,0
1172,RANGE,35.925,-121.181,2017,6,845.1,0.0,650.61,181.98,0.0,0,0
288,CHINA LAKE,35.925,-117.486,2005,7,4114.89,0.0,910.8,3188.88,4.14,0,1
1578,UNNAMED,35.927,-121.214,1992,8,4141.71,34.65,2763.99,1281.87,38.07,0,0
1435,TAR,35.928,-120.297,2007,8,2184.21,0.09,399.33,1108.26,676.35,0,0
842,MANTER,35.93,-118.182,2000,7,30818.61,113.85,6662.43,12315.87,8309.52,0,0
1383,STAGE,35.931,-118.925,2002,6,476.73,0.0,18.27,374.13,84.33,0,0
1569,UNNAMED,35.933,-121.219,2005,8,15811.56,566.01,9048.15,5585.85,532.98,0,1
1572,UNNAMED,35.933,-121.17,1998,8,2162.07,49.59,1461.78,620.46,11.61,0,0
1512,UNNAMED,35.952,-121.278,1996,5,6030.0,74.79,3112.65,2524.95,292.23,0,1
516,GARZA,35.957,-120.299,2017,7,19587.42,81.09,4042.8,14478.66,759.87,0,0
1654,WILD,35.959,-121.388,1996,10,9891.54,1.26,4113.9,3224.97,2538.99,0,0
1343,SLICKROCK,35.965,-121.345,1992,8,990.99,0.09,285.21,303.48,401.76,0,0
867,MEADOW,35.975,-118.579,2016,10,1760.13,0.36,925.83,624.51,195.39,1,6
1064,PEANUT,35.977,-121.298,2015,6,1528.38,0.0,674.91,792.72,51.57,0,0
633,HILLS,35.97781184,-120.3001306,2020,8,849.6,0.99,756.45,91.8,0.0,0,0
1564,UNNAMED,35.98,-121.298,1992,7,838.8,9.45,578.88,249.57,0.09,0,0
1524,UNNAMED,35.981,-119.974,1997,6,436.68,1.08,45.18,332.73,56.52,0,0
1405,STONY,35.983,-121.284,2014,6,2361.87,2.88,968.58,1281.96,103.14,0,1
1291,SHANNON,35.984,-118.853,2007,6,948.06,0.09,187.47,749.88,9.45,0,0
1568,UNNAMED,35.988,-121.3,2003,8,1096.92,1.53,648.9,427.41,18.63,0,0
1541,UNNAMED,35.988,-121.299,1998,7,1157.76,6.03,645.12,440.46,65.7,0,1
1585,UNNAMED,35.988,-119.979,1998,8,644.31,2.79,23.76,551.52,64.71,0,1
1404,STONY,35.989,-121.293,2016,6,1995.57,2.7,991.26,967.95,24.93,0,0
1593,UNNAMED,35.991,-119.988,1993,9,474.66,1.62,69.84,380.79,20.79,0,1
209,BUTTE 2,35.992,-117.025,2006,7,714.24,0.0,0.0,694.17,7.29,0,9
123,BIG SANDY,35.994,-120.575,1985,7,1270.17,2.16,787.95,459.27,20.79,0,0
1565,UNNAMED,36.0,-121.027,1987,7,878.67,8.1,667.26,199.89,3.33,0,0
1338,SKYLINE,36.0,-120.041,1996,4,8778.96,117.09,1531.08,6547.95,484.74,0,0
1576,UNNAMED,36.009,-117.635,2005,8,3659.67,0.27,1666.26,1991.52,0.0,0,0
225,CALICO,36.009,-116.532,2006,7,3752.55,0.99,2900.43,848.7,0.0,0,0
1485,TULARE 4,36.011,-118.797,1985,7,522.81,0.09,137.79,361.8,23.04,0,0
955,NADEAU,36.01384218,-117.4633597,2020,7,3696.93,0.0,932.67,2697.57,30.87,0,1
1210,ROADRUNNER,36.015,-118.933,2017,7,985.23,0.09,86.76,833.49,64.89,0,0
273,CHALK,36.016,-121.468,2008,9,6238.53,6.12,2312.91,2820.33,1044.63,1,0
1557,UNNAMED,36.02,-120.031,2002,7,708.57,5.49,237.33,457.11,3.33,0,0
1046,PARK,36.021,-120.499,2017,7,726.39,0.0,289.17,238.95,180.63,0,0
1672,WIZARD,36.024,-121.382,1985,6,3464.1,5.49,1370.97,1746.27,326.88,0,0
1559,UNNAMED,36.027,-120.105,1998,7,726.66,27.72,125.64,549.63,5.76,0,1
541,GOLDEN,36.03,-116.594,2007,4,834.75,0.0,734.85,99.45,0.0,0,2
35,ANDREWS,36.037,-120.559,1985,7,2052.81,0.36,955.89,872.55,215.46,0,0
1419,SULPHUR SPRINGS,36.042,-121.239,2002,7,758.34,0.0,263.79,440.19,51.66,0,0
1219,ROCK 2,36.042,-118.781,2007,7,437.67,0.54,109.89,315.09,4.59,0,0
1198,RICO,36.05,-120.693,2006,7,4778.55,9.72,2.7,4052.97,712.89,0,1
743,KIRK COMPLEX (HARE),36.054,-121.464,1999,9,17422.38,5.13,3883.77,9087.93,4277.25,0,0
1579,UNNAMED,36.06,-120.096,1993,8,419.04,4.86,54.0,342.72,14.49,0,0
706,JAYNE,36.061,-120.274,2017,4,1892.16,36.09,282.96,629.73,0.0,0,1
347,COYOTE,36.061,-118.894,2006,7,560.61,2.88,44.28,443.16,69.93,0,0
293,CHOLOLLO,36.063,-118.664,1996,8,1153.98,0.54,414.81,469.44,268.29,0,0
278,CHERRY,36.065,-121.165,1985,7,16852.77,233.19,6952.23,7508.61,1906.74,0,0
547,GORDA-RAT,36.066,-121.461,1985,7,19982.25,8.1,4438.26,9550.98,5739.75,0,0
866,MCNALLY,36.067,-118.4,2002,7,59291.91,225.63,11960.64,25294.5,20778.48,0,0
593,HAPPY,36.067,-117.059,2000,7,2420.73,0.0,774.45,1366.56,168.84,0,36
415,DOLAN,36.07113431,-121.462485,2020,8,50337.18,32.67,10675.08,20721.15,18466.11,0,0
477,FK 1817,36.074,-120.188,1984,3,592.2,39.87,0.0,463.32,70.83,0,2
449,ELM 2,36.075,-120.405,2017,5,4357.44,238.41,855.72,2228.4,27.63,0,1
1080,PGE 13,36.077,-120.129,1993,5,643.86,2.34,81.54,535.41,22.77,0,1
1340,SLATE,36.082,-118.556,2016,10,858.87,4.05,533.97,277.11,41.76,0,0
371,CURRY,36.087,-120.45,2016,7,1149.3,29.61,398.52,517.14,44.37,0,0
1273,SCHAEFFER,36.096,-118.365,2017,6,6515.01,20.43,1163.7,3089.43,2199.33,1,0
23,ALBANITA AND HOOKER,36.118,-118.21,2003,9,2001.33,1.08,744.39,879.21,319.68,1,0
28,ALMAZAN,36.12,-120.402,2006,5,863.19,98.55,193.23,173.07,0.0,0,0
1087,PIER,36.122,-118.708,2017,8,14822.1,0.09,6355.53,3954.42,4481.1,0,0
313,COLEMAN,36.125,-121.284,2016,6,1163.43,3.51,606.42,511.11,34.56,0,1
304,CLOVER,36.133,-118.084,2008,5,5980.14,12.42,1588.77,2185.83,1553.67,0,0
92,BASIN COMPLEX (INDIANS),36.136,-121.378,2008,6,23919.3,5.31,3942.54,11919.87,7876.98,0,0
918,MINERAL,36.144,-120.523,2016,8,2775.33,0.09,625.77,2128.41,21.06,0,0
183,BRODER WFU,36.145,-118.173,2006,7,1410.3,2.07,375.93,804.42,179.55,1,0
799,LION COMPLEX (GRANITE),36.153,-118.214,2009,7,703.35,1.26,367.65,287.73,27.18,1,0
1083,PHELPS,36.159,-120.251,2006,10,672.12,39.06,120.51,377.73,9.36,0,6
307,COFFEE,36.162,-118.758,1997,9,910.17,0.0,104.22,528.12,217.08,0,0
523,GEORGE,36.167,-118.473,2012,6,759.69,0.36,228.06,320.49,198.27,0,0
800,LION COMPLEX (LION),36.168,-118.293,2009,6,1339.92,0.99,838.8,464.04,28.53,1,0
387,DEEP,36.174,-118.722,2004,8,1363.05,0.36,406.35,453.69,467.46,0,0
917,MINERAL,36.1761018,-120.5600361,2020,7,11958.39,43.29,5237.28,5785.29,849.06,0,0
818,LONOAK,36.207,-121.043,2019,6,1051.2,175.68,165.42,680.04,30.06,0,0
398,DERRICK,36.207,-120.464,2017,7,653.4,62.1,49.14,304.65,4.41,0,0
91,BASIN COMPLEX,36.212,-121.578,2008,6,66583.53,318.6,21978.09,27380.43,15883.65,0,0
794,LINDSAY,36.212,-118.998,1988,6,406.62,0.0,0.99,358.74,46.89,0,1
266,CASTLE,36.21697263,-118.5458922,2020,8,68846.58,652.86,10095.3,26859.51,30531.87,1,0
1283,SECO,36.22,-121.458,1992,8,1086.12,0.36,208.35,554.13,320.67,0,0
948,MOUNTAINEER FIRE,36.22,-118.578,2018,10,530.91,9.27,337.95,173.07,10.62,1,0
1251,SAGE FLAT,36.222,-118.047,1996,7,587.07,0.0,77.94,345.78,51.3,0,25
1282,SECO,36.227,-121.44,1985,7,847.26,3.51,392.4,405.36,42.03,0,0
1423,SUMMIT COMPLEX,36.229,-118.141,2003,8,2574.72,0.18,676.89,1170.27,373.41,1,0
475,FISH,36.23,-118.427,2013,8,865.35,0.63,161.91,420.48,271.26,0,1
983,NUNEZ,36.233,-120.445,1987,5,640.8,77.85,111.51,259.83,3.42,0,0
702,JACOBSON,36.233,-118.537,2016,10,677.52,0.9,307.26,214.11,124.92,0,0
519,GATOS,36.237,-120.573,2004,7,407.97,0.0,328.14,79.65,0.18,0,0
24,ALDER,36.239,-118.632,2018,10,2114.91,1.8,1047.96,761.13,303.75,1,0
675,INDIAN,36.25,-118.292,2017,8,990.99,0.18,254.7,404.1,328.68,0,10
977,NORTH FORK,36.258,-120.732,2000,8,765.63,0.0,185.13,318.24,262.26,0,0
1425,SUR,36.259,-121.739,1996,10,1704.42,0.0,813.6,625.23,224.82,0,7
996,OIL FIELDS,36.26,-120.317,1984,5,459.09,1.08,0.0,90.63,0.0,0,0
216,CABIN,36.26,-118.555,2015,7,2924.46,13.86,1036.26,1196.64,619.56,1,0
1577,UNNAMED,36.265,-121.665,1992,8,409.68,0.0,84.24,130.95,173.43,0,1
618,HIDDEN,36.267,-118.637,2016,11,936.81,6.12,463.77,349.29,111.69,0,5
742,KIRK COMPLEX (FIVE),36.279,-121.625,1999,9,14632.29,31.95,3298.05,6100.38,5020.38,0,9
798,LION,36.285,-118.471,2017,9,7517.61,11.7,2826.99,3546.72,739.89,1,7
574,GROUSE,36.285,-118.428,2007,8,433.44,0.81,75.87,165.15,168.66,1,1
346,COW,36.287,-118.209,2019,7,803.79,1.26,541.53,196.65,11.43,0,0
931,MOLERO II,36.29,-121.819,1989,7,972.18,0.45,189.99,589.77,148.23,0,0
1514,UNNAMED,36.297,-121.132,1997,5,737.1,51.66,144.45,539.37,0.81,0,0
1170,RANCHO,36.3,-121.448,1993,8,2251.26,25.38,282.51,1168.11,757.44,0,1
1391,STATECA 17,36.3,-120.29,1987,5,879.12,0.81,57.51,729.99,71.73,0,0
797,LION,36.301,-118.536,2011,7,7149.96,2257.74,2009.16,1844.73,808.2,1,0
139,BLUE RIDGE,36.314,-118.869,1984,8,634.05,1.08,543.24,68.49,12.15,0,0
1356,SOBERANES,36.322,-121.701,2016,7,53569.17,57.96,18948.69,24903.45,8930.25,0,0
1311,SHOTGUN,36.322,-118.533,2009,6,521.37,14.22,225.36,220.95,26.1,0,0
1101,PINEY CREEK,36.348,-121.467,1985,6,645.12,3.06,373.59,206.19,62.19,0,0
161,BOTTCHER,36.352,-121.795,1986,11,1085.13,0.09,453.15,443.16,172.62,0,0
1560,UNNAMED,36.361,-121.07,1989,7,754.11,0.0,677.52,0.09,0.0,0,0
1550,UNNAMED,36.369,-121.487,2002,7,498.96,3.06,174.78,190.89,130.23,0,0
1205,RIVER,36.378,-121.425,1986,11,1866.69,0.36,679.68,882.81,295.11,0,0
821,LOSGATOSIV,36.379,-120.583,1985,7,8238.69,182.43,5204.16,2425.86,335.61,0,0
876,METZ,36.387,-121.217,2016,5,1548.9,52.29,354.78,1131.39,10.44,0,1
1438,TASSAJARA,36.391,-121.589,2015,9,439.74,0.54,149.4,243.63,40.14,0,8
19,AIRLINE,36.391,-120.962,2018,6,597.78,0.0,178.56,376.65,42.57,0,0
79,BAR-O,36.406,-118.848,1984,8,1209.15,0.18,988.47,193.41,25.11,0,2
436,EDEN,36.409,-118.733,2018,10,731.07,0.0,227.34,440.1,63.63,0,7
264,CASE,36.41,-118.794,1987,8,2009.25,0.0,469.17,898.74,638.82,0,0
257,CARMEL,36.41717633,-121.6542699,2020,8,2823.3,2.34,704.25,1628.37,436.32,0,0
877,METZ,36.43,-121.201,1993,6,617.13,37.98,122.13,430.29,11.25,0,1
1174,RATTLESNAKE,36.430343,-118.4150668,2020,8,3354.03,44.46,1246.32,1478.25,344.25,0,0
188,BRYANT CANYON,36.445,-121.277,1986,5,856.8,76.41,200.43,565.47,13.95,0,1
537,GLORIA,36.463,-121.292,2009,8,2704.59,174.42,578.79,1855.98,84.33,0,0
1102,PINNACLES,36.467,-121.205,1994,8,457.38,0.0,131.94,317.79,2.88,0,0
1403,STONEWALL,36.471,-121.152,1998,8,1203.66,18.0,222.66,739.89,206.55,0,0
1207,RIVER,36.4817366,-121.5674233,2020,8,20308.05,38.34,8438.22,7283.52,4228.11,0,0
725,KAWEAH-KERN COMPLEX (PARADISE 2),36.487,-118.746,2003,9,529.65,0.0,376.83,140.67,12.15,0,9
476,FIVE,36.489,-120.458,2005,6,1059.3,48.78,55.17,928.89,24.84,0,0
724,KAWEAH,36.493,-118.866,1996,8,1857.69,0.18,873.27,674.73,292.77,0,0
1459,THREE ROCKS,36.501,-120.504,2006,7,3778.47,594.54,560.88,2260.26,74.7,0,0
102,BEAR CREEK,36.51,-118.882,1984,10,529.02,2.52,391.23,116.28,18.99,0,7
913,MILLWOOD,36.517,-119.108,2005,7,1213.29,0.54,302.4,876.24,33.12,0,0
712,JOHNSON,36.54,-121.361,2005,6,566.91,5.22,79.38,462.78,13.77,0,0
195,BUCKEYE,36.543,-118.744,1988,10,1217.97,0.54,286.29,420.48,505.44,0,9
560,GRAPEVINE,36.552,-119.083,1990,10,958.41,0.0,62.82,886.68,0.27,0,1
552,GRADE,36.55394741,-119.1725198,2020,6,418.86,0.0,76.23,342.54,0.0,0,0
1002,OLIVAS II,36.569,-118.163,1989,3,497.34,0.18,319.14,49.59,2.25,0,4
1038,PANOCHE II,36.575,-120.627,1996,4,5971.41,412.2,1327.41,3786.84,435.42,0,0
619,HIDDEN,36.603,-118.829,2008,9,1498.41,0.72,450.54,743.76,288.36,0,6
201,BUMB,36.623,-120.979,1985,5,524.25,0.0,0.9,500.49,22.86,0,1
1036,PANOCHE,36.631,-120.678,1996,4,694.62,51.03,366.84,275.49,1.26,0,1
524,GEORGES,36.65,-118.233,2018,7,1215.0,5.13,768.24,338.94,40.86,0,0
1037,PANOCHE 2,36.659,-120.863,1986,6,629.19,15.93,229.32,350.91,30.87,0,0
348,COYOTE,36.67474452,-120.9989679,2020,7,593.82,0.0,567.0,26.82,0.0,0,0
184,BROWN,36.686,-120.921,2008,6,1609.56,3.6,1401.93,203.22,0.0,0,1
930,MOFFAT,36.688,-118.085,2018,4,539.01,1.71,278.28,209.25,42.12,0,1
784,LIGHTNING9,36.689,-120.743,1988,6,1568.79,159.3,405.45,832.68,155.07,0,0
1417,SUGARLOAF,36.715,-118.662,1985,7,1077.93,1.08,687.51,352.17,24.39,0,0
1124,PONOCHE 2,36.727,-120.768,1985,6,3037.41,239.49,0.72,2078.82,654.57,0,1
936,MORAINE,36.72719052,-118.5516108,2020,8,526.32,16.83,290.07,201.42,17.55,0,0
1004,ONION,36.739,-118.252,1985,7,3475.53,0.18,3345.57,89.64,3.06,0,0
149,BONANZA,36.744,-120.941,1984,6,4899.15,16.92,9.99,4870.62,1.35,0,0
58,AVALANCHE1,36.763,-118.599,1990,7,1036.53,5.67,379.44,355.77,285.75,0,0
627,HIGHWAY,36.781,-119.089,2001,7,1680.3,0.54,567.72,722.7,388.35,1,0
1298,SHEEP COMPLEX,36.783,-118.722,2010,7,3889.71,11.52,1118.43,2036.52,710.64,1,0
1631,WATTS,36.79,-119.472,1999,7,518.67,2.88,22.23,461.16,32.31,0,1
59,AVOCADO,36.791,-119.371,2008,5,503.73,0.0,143.1,359.82,0.09,0,0
1547,UNNAMED,36.804,-119.283,1986,7,432.54,0.0,61.47,369.45,0.72,0,0
668,I-5,36.818,-120.804,2005,8,1547.46,0.54,0.18,1220.67,311.13,0,1
958,NEES,36.845,-120.804,1995,5,468.63,0.0,32.31,374.58,59.67,0,1
1181,RED MOUNTAIN,36.846,-119.391,1987,8,1761.12,0.0,297.72,1440.0,17.64,0,0
679,INYO COMPLEX (OAK),36.848,-118.279,2007,7,11512.8,42.84,8348.58,2096.73,622.53,0,0
959,NEES,36.849,-120.786,2018,5,744.39,0.09,86.85,594.27,40.41,0,1
1229,ROUGH,36.852,-118.884,2015,8,59231.16,497.43,20131.2,22783.86,15513.21,1,0
292,CHOKE,36.852,-118.712,1997,8,1390.95,4.14,200.52,435.96,692.82,0,1
872,MERCY,36.863,-120.824,1996,6,6876.81,113.49,258.3,3622.59,2373.93,0,0
1510,UNNAMED,36.865,-121.201,1992,5,447.48,0.45,98.1,303.12,30.96,0,0
391,DEER,36.871,-118.936,1986,9,4434.48,28.53,974.43,1979.55,1429.74,0,2
667,I-5,36.877,-120.963,2003,6,445.32,0.0,73.26,372.06,0.0,0,0
515,GARNET,36.877,-119.011,1988,8,589.23,2.52,307.53,204.39,68.85,0,2
992,OBELISK,36.878,-118.844,1988,7,2479.95,32.76,934.38,1013.94,483.39,0,0
873,MERCY,36.882,-120.813,1998,7,2024.82,76.32,71.19,1174.68,594.27,0,1
1024,PACHECO 2,36.883,-121.158,1984,7,499.14,0.0,38.34,460.8,0.0,0,1
1478,TRIMMER,36.893,-119.346,1996,8,2304.36,0.0,614.7,1601.73,62.28,0,0
741,KIRCH,36.898,-119.179,1990,7,1265.67,1.53,724.14,491.58,43.56,0,0
1588,UNNAMED,36.899,-119.32,1987,8,919.89,0.09,416.25,372.87,126.9,0,0
418,DOS AMIGOS,36.903,-120.823,2005,6,569.07,44.91,0.0,425.61,0.0,0,1
1081,PGE 4,36.918,-120.851,1993,7,2263.41,85.5,380.7,1378.8,157.95,0,1
1428,SYCAMORE,36.921,-119.256,1986,7,471.24,0.0,183.78,284.67,1.62,0,0
575,GROVE,36.924,-119.714,1997,5,607.5,0.81,116.01,479.52,10.89,0,1
1245,SACATA,36.927,-119.264,2016,10,923.67,0.0,233.28,662.04,25.29,1,1
1544,UNNAMED,36.933,-119.122,1989,7,3484.17,4.05,731.07,1426.5,1304.1,0,0
408,DIVISION,36.937,-118.288,1999,3,1339.29,6.21,1077.3,218.34,1.53,0,3
1443,TEHIPITE,36.941,-118.811,2008,7,4938.12,3.24,1950.3,2467.89,500.49,1,0
1582,UNNAMED,36.942,-119.219,1987,8,533.79,0.09,244.98,258.3,29.25,0,11
420,DOUGHERTY,36.959,-118.626,1985,6,670.59,0.09,179.46,298.44,189.18,0,0
544,GOODALE,36.96,-118.283,2006,6,1717.56,0.0,317.07,1397.97,0.0,0,1
1509,UNNAMED,36.964,-120.904,1996,5,439.47,2.97,46.71,299.61,60.21,0,0
1330,SIMPSON,36.985,-118.638,1988,7,440.01,1.98,152.64,202.5,75.42,0,0
204,BURROUGH,36.986,-119.338,1989,7,599.58,2.16,427.86,160.2,8.01,0,0
6,41 FIRE,36.989,-119.766,2008,6,1054.53,5.76,79.29,954.81,14.67,0,0
545,GOOSE,37.015,-119.466,2016,7,1008.18,0.0,706.68,278.55,9.54,0,0
361,CREWS,37.01675957,-121.4539694,2020,7,2217.15,3.24,1553.76,581.04,17.37,0,0
1433,TABOOSE,37.018,-118.345,2019,9,4189.32,2.07,3257.73,848.25,57.42,0,1
1023,PACHECO,37.028,-121.343,2009,8,700.74,0.09,298.71,361.44,31.59,0,0
1052,PASS,37.04631279,-121.1633091,2020,6,871.92,33.57,618.12,220.23,0.0,0,0
