,Fire_Name,Lat,Long,Fire_Year,Fire_Month,Total_area_burned(ha),Unchanged(ha),Low_Severity(ha),Moderate_Severity(ha),High_Severity(ha),FuelTreatment,TSLF(months)
641,HOLSER,34.45758441,-118.7324555,2020,8,882.81,3.96,108.81,696.96,73.08,0,0
1457,THOMAS,34.459,-119.303,2017,12,114042.96,530.64,45157.14,48699.27,19583.55,0,0
990,OASIS,34.459,-118.277,2002,9,484.83,0.45,241.02,239.31,2.52,0,0
1310,SHOOTING,34.46,-118.045,1994,6,1655.64,81.99,818.46,741.96,12.42,0,0
640,HOLSER,34.461,-118.728,1999,7,1023.48,160.92,754.56,103.86,4.14,0,0
1029,PAINT,34.469,-119.784,1990,6,1927.26,2.43,770.13,1036.62,106.38,0,2
710,JESUSITA,34.474,-119.725,2009,5,3467.88,0.9,1159.74,2015.91,287.91,0,3
646,HOPPER,34.476,-118.816,1997,8,9743.49,142.74,3698.1,3852.81,2049.84,0,0
1105,PIRU,34.48,-118.861,2003,10,25868.34,193.14,4131.81,14282.91,7260.21,0,0
510,GAP,34.485,-119.866,2008,7,3792.78,3.78,807.84,2428.47,552.06,0,3
521,GAVIOTA,34.487,-120.196,2004,6,3083.76,445.86,1368.54,1043.28,205.83,0,1
267,CAVE,34.489,-119.768,2019,11,1111.41,0.45,442.89,539.46,128.52,0,6
1381,STABLES,34.493,-118.495,2001,10,2722.59,3.06,690.39,1602.09,427.05,0,2
1302,SHERPA,34.497,-120.033,2016,6,3021.39,1.98,615.87,1754.37,608.22,0,0
1348,SLOAN,34.502,-118.65,2001,8,721.44,0.0,52.2,557.64,111.6,0,2
1643,WHEELER 2,34.51,-119.354,1985,7,51335.91,504.36,15323.94,23819.04,11687.58,0,0
1641,WHEEL,34.514,-119.304,1993,10,591.3,0.0,97.83,462.42,31.05,0,1
197,BUCKWEED,34.515,-118.446,2007,10,16726.32,50.22,10988.82,5478.3,202.14,0,0
1163,RANCH,34.516,-118.727,2007,10,14978.16,492.84,7980.48,5952.87,551.61,0,0
275,CHARLIE,34.521,-118.559,2018,9,1362.24,0.0,132.39,1100.88,128.97,0,2
1653,WHITTIER  CA-LBOR-001770,34.535,-119.952,2017,7,7489.26,9.54,915.57,3231.18,3332.97,0,0
164,BOUQUET,34.539,-118.436,2002,5,1880.28,3.87,329.58,1440.36,105.57,0,0
1506,UNNAMED,34.54,-119.615,1985,5,1060.92,0.54,658.53,372.78,29.07,0,0
1470,TOVEY,34.541,-118.161,2005,7,479.43,0.0,115.2,347.94,16.29,0,1
402,DEVIL,34.545,-118.671,1992,7,534.15,0.0,216.36,293.31,24.48,0,2
1413,SUDDEN RANCH,34.547,-120.532,2002,6,3172.32,10.17,459.9,1962.54,177.03,0,0
1401,STONE,34.55,-118.292,2018,6,671.49,0.0,167.67,499.5,3.33,0,1
1646,WHITE,34.552,-119.774,2013,5,822.33,2.43,269.91,465.21,84.78,0,0
1292,SHANNON,34.552,-118.186,1999,8,1438.65,2.43,199.8,1206.63,26.28,0,1
1293,SHANNON FIRE,34.552,-118.183,1984,5,1437.93,2.43,0.0,1431.09,0.0,0,0
796,LION,34.558,-119.202,1991,10,714.78,0.36,172.53,424.17,117.72,0,0
325,COPPER,34.558,-118.482,2002,6,7707.42,3.15,1204.38,5627.88,871.2,0,0
606,HAUSER,34.564,-118.294,2003,7,865.26,0.0,283.95,431.82,149.4,0,0
1501,UNNAMED,34.566,-119.689,1998,10,786.51,3.78,514.44,247.77,20.52,0,2
88,BARSTOW,34.575,-117.018,1996,5,427.95,0.0,378.9,48.78,0.0,0,0
364,CROWN,34.576,-118.228,2010,7,5678.1,3.6,804.78,3504.24,1268.1,0,1
1173,RANGE,34.584,-120.285,1997,9,519.12,26.64,392.94,80.1,13.59,0,0
774,LEONA,34.585,-118.275,2002,9,2058.3,0.0,184.95,1232.82,639.54,0,4
1193,REY,34.586,-119.725,2016,8,13488.75,326.52,9790.47,3324.96,46.26,0,1
850,MARPLE,34.586,-118.663,1996,8,8262.63,32.13,2824.38,3848.76,1556.73,0,2
548,GORGE,34.592,-118.773,1996,7,694.62,19.44,78.12,458.28,138.78,0,0
1673,WOLF,34.593,-119.211,2002,6,8537.58,36.54,1305.54,4481.91,2713.59,0,0
1540,UNNAMED,34.594,-119.488,2002,6,990.45,0.09,723.96,244.98,21.42,1,0
1234,RUBY,34.594,-118.555,1987,9,4046.76,0.54,635.22,2256.66,1154.34,0,1
1571,UNNAMED,34.596,-119.873,1988,8,1905.48,6.21,1766.7,132.21,0.18,0,0
243,CANYON,34.597,-120.584,2016,9,4697.01,95.49,2356.02,1578.69,619.29,0,0
434,EAST,34.597,-118.691,2004,8,568.53,10.98,261.45,275.49,20.61,0,0
1589,UNNAMED,34.604,-119.919,1985,9,1100.97,1.98,237.24,733.32,128.25,0,1
1503,UNNAMED,34.606,-119.713,1988,3,1451.34,0.27,671.67,741.6,37.8,0,1
995,OGILVY,34.613,-119.625,1998,10,1637.55,8.64,292.95,773.1,562.86,0,7
