,Fire_Name,Lat,Long,Fire_Year,Fire_Month,Total_area_burned(ha),Unchanged(ha),Low_Severity(ha),Moderate_Severity(ha),High_Severity(ha),FuelTreatment,TSLF(months),PDepth>0.01in,PDepth>0.1in,PDepth>1in,SDepth>1in,DaysT<32d,DaysT>70d,DaysT>90d,HighestDaySnow,HighestDayRain,HighestDayTemp,TotalRain,TotalSnow,AvgMonthMax
570,TARINA,35.388,-118.758,2018,8,2013.3,8.1,409.23,1375.38,220.41,0,0,40.0,21.0,0.0,3.6219934355604733,0.0,245.0,99.0,69.93284063216659,23.1,40.6,218.6,374.4655954594603,24.91
571,BRECKENRIDGE COMPLEX,35.39,-118.698,2011,9,11022.03,77.04,1803.96,8477.91,628.83,0,0,56.14283365876301,36.1994151940461,5.518378384741276,3.6219934355604733,0.9090909090909091,154.72727272727272,44.63636363636363,69.93284063216659,54.812286799367186,36.509090909090915,548.5262273578717,374.4655954594603,20.750909090909087
572,41,35.392,-120.683,1994,8,19603.26,34.65,2368.62,7647.57,9519.48,0,0,51.23076923076923,30.53846153846154,7.615384615384615,0.0,0.0,172.48,8.2,0.0,57.93846153846154,36.9,523.3615384615384,0.0,20.8736
573,HALLORAN,35.392,-115.775,2005,8,422.46,0.0,402.75,19.71,0.0,0,0,39.95454545454545,25.09090909090909,1.4090909090909092,0.4642857142857143,0.0,234.5,102.0,17.642857142857142,32.56818181818182,45.85,274.45,23.678571428571427,25.59
574,POND,35.39569232,-120.4330707,2020,8,791.01,2.7,81.0,562.59,144.72,0,0,39.31707317073171,20.024390243902438,4.146341463414634,3.6219934355604733,0.0,245.32,34.88,69.93284063216659,52.534146341463405,45.416000000000004,298.4707317073171,374.4655954594603,23.523999999999997
575,TWISSELMAN,35.396,-119.833,1984,8,2430.99,129.15,2049.03,249.48,0.27,0,0,40.0,14.0,0.0,0.0,0.0,259.0,123.0,0.0,15.5,41.699999999999996,100.8,0.0,26.280000000000005
576,MESA COMPLEX,35.396,-118.884,1996,5,2221.83,25.29,454.14,1413.18,329.04,0,0,59.714285714285715,43.857142857142854,6.285714285714286,1.4285714285714286,0.0,231.0,116.0,117.85714285714286,70.21428571428571,43.9,690.0857142857141,181.42857142857142,25.88
577,COTTONWD 2,35.398,-118.769,1997,5,984.42,7.38,55.89,609.48,311.67,0,0,44.0,28.0,3.0,2.0,3.138077881268154,194.99819191814728,61.23320956669523,38.0,54.6,39.51175228921307,410.4,63.0,21.800804610486804
578,HILL,35.405,-120.481,2017,6,765.9,2.79,288.36,447.75,27.0,0,1,51.58536585365854,37.829268292682926,10.951219512195122,3.6219934355604733,0.0,260.5,22.75,69.93284063216659,76.99024390243902,44.699999999999996,793.7756097560977,374.4655954594603,23.98
579,BRECKENRIDGE,35.407,-118.791,1998,9,540.09,3.24,60.84,386.01,90.0,0,1,106.0,64.0,13.0,8.0,0.0,186.0,69.0,89.0,56.1,43.3,1013.7000000000002,381.0,21.53
580,PARKHILL,35.416,-120.468,2003,7,507.6,1.08,57.15,196.2,253.17,0,0,58.09090909090909,31.681818181818183,4.045454545454546,0.0,0.0,223.91304347826087,32.21739130434783,0.0,54.24090909090909,38.29130434782609,420.9636363636364,0.0,23.43173913043478
581,COTTONWOOD,35.416,-118.267,2006,8,966.15,0.09,282.06,473.94,191.61,0,0,56.14283365876301,36.1994151940461,5.518378384741276,3.6219934355604733,1.0,185.0,82.0,69.93284063216659,54.812286799367186,39.4,548.5262273578717,374.4655954594603,21.39
582,UNNAMED,35.427,-120.031,1994,7,1176.66,8.82,422.19,745.11,0.54,0,0,46.0,29.0,6.0,0.0,0.0,214.5,91.5,0.0,42.7,40.85,472.3999999999999,0.0,23.5
583,BASIN,35.43,-118.439,2003,7,424.26,0.09,124.2,204.93,91.71,0,0,56.14283365876301,36.1994151940461,5.518378384741276,3.6219934355604733,3.138077881268154,194.99819191814728,61.23320956669523,69.93284063216659,54.812286799367186,39.51175228921307,548.5262273578717,374.4655954594603,21.800804610486804
584,HIGHWAY 58,35.433,-120.527,2002,7,563.22,1.35,89.64,300.78,171.45,0,0,35.526315789473685,23.5,5.368421052631579,0.0,0.0,220.57142857142858,28.857142857142858,0.0,77.11052631578949,39.52857142857142,463.99473684210545,0.0,22.97857142857144
585,CANYON,35.435,-118.761,1996,6,1409.58,60.12,95.13,1079.55,174.33,0,0,62.333333333333336,45.166666666666664,7.0,1.6666666666666667,3.138077881268154,194.99819191814728,61.23320956669523,137.5,76.41666666666667,39.51175228921307,749.0499999999998,211.66666666666666,21.800804610486804
586,UNNAMED,35.438,-117.316,1996,6,433.89,0.0,432.0,1.62,0.0,0,0,19.25,8.214285714285714,0.32142857142857145,0.0,0.0,245.91304347826087,130.08695652173913,2.5714285714285716,15.546428571428574,43.213043478260865,75.03214285714286,2.5714285714285716,27.183913043478263
587,ADELAIDE,35.443,-118.777,1985,5,426.15,31.77,223.11,168.66,2.34,0,0,38.857142857142854,23.357142857142858,3.857142857142857,3.142857142857143,3.138077881268154,194.99819191814728,61.23320956669523,170.64285714285714,46.35714285714285,39.51175228921307,342.17857142857144,462.64285714285717,21.800804610486804
