,Fire_Name,Lat,Long,Fire_Year,Fire_Month,Total_area_burned(ha),Unchanged(ha),Low_Severity(ha),Moderate_Severity(ha),High_Severity(ha),FuelTreatment,TSLF(months),PDepth>0.01in,PDepth>0.1in,PDepth>1in,SDepth>1in,DaysT<32d,DaysT>70d,DaysT>90d,HighestDaySnow,HighestDayRain,HighestDayTemp,TotalRain,TotalSnow,AvgMonthMax
0,BORDER 50,32.577,-116.722,2005,10,1239.57,0.18,466.47,674.64,98.1,0,0,53.0,26.833333333333332,1.9444444444444444,2.0,0.0,248.94736842105263,67.10526315789474,76.0,36.277777777777786,39.98947368421054,329.66666666666674,101.0,24.60421052631579
1,BORDER 6,32.579,-116.264,2012,5,45.45,1.17,28.53,15.75,0.0,0,0,53.333333333333336,29.333333333333332,1.5833333333333333,3.6219934355604733,0.0,254.42857142857142,95.78571428571429,69.93284063216659,40.71666666666666,40.37857142857143,333.6666666666667,374.4655954594603,25.32357142857143
2,MINE,32.581,-116.768,1986,9,417.69,0.09,345.06,72.27,0.27,0,0,42.89473684210526,24.263157894736842,3.6315789473684212,0.0,0.0,251.57894736842104,42.21052631578947,0.0,70.03684210526316,37.19473684210528,384.6999999999999,0.0,24.615789473684217
3,BORDER,32.585,-116.514,2004,9,363.24,0.0,56.07,304.02,3.15,0,0,41.785714285714285,28.142857142857142,6.357142857142857,1.2,0.0,232.2,79.86666666666666,25.4,66.3,39.74,481.13571428571424,86.2,24.436666666666664
4,GLORIA,32.589,-116.443,1999,10,213.66,0.0,76.23,136.44,0.99,0,0,39.15384615384615,23.0,0.15384615384615385,0.0,0.2857142857142857,232.57142857142858,72.14285714285714,0.0,18.653846153846153,38.964285714285715,179.8846153846154,0.0,24.195714285714285
5,OTAY 322,32.592,-116.871,1996,10,4118.85,0.0,679.05,1866.69,1573.02,0,0,31.4,17.8,0.8,0.0,0.0,274.5,43.25,0.0,25.919999999999998,37.074999999999996,183.7,0.0,25.229999999999997
6,FOREST GATE,32.592,-116.489,1995,7,493.92,0.0,51.48,352.8,89.64,0,0,58.5,37.5,7.857142857142857,0.0,0.0,253.5,86.5,0.0,93.42142857142858,42.375,711.5142857142857,0.0,25.4
7,DOGPATCH 2,32.602,-116.512,1989,7,481.05,0.45,261.63,215.46,3.51,0,0,29.529411764705884,18.0,0.8235294117647058,0.0,0.0,266.7,98.9,0.0,28.452941176470585,42.43,158.40588235294118,0.0,26.018
8,OTAY,32.604,-116.925,1994,10,902.88,3.42,222.57,669.69,7.2,0,0,33.55555555555556,19.666666666666668,0.4444444444444444,0.0,0.0,204.0,7.0,0.0,24.244444444444447,36.1,239.64444444444447,0.0,21.959999999999997
9,SUMMIT,32.605,-116.733,1998,7,423.09,0.0,293.49,122.49,7.11,0,0,58.0,37.75,4.25,3.6219934355604733,0.0,217.5,42.25,69.93284063216659,49.875,40.7,480.6,374.4655954594603,23.065
10,SYCAMORE,32.607,-116.727,1995,8,3946.59,2.97,211.14,2109.33,1623.15,0,0,52.05,37.9,7.2,0.0,0.0,246.9047619047619,64.14285714285714,0.0,67.74499999999999,39.561904761904756,629.175,0.0,24.860952380952384
11,BELL,32.608,-116.601,2001,12,1497.33,8.01,1387.98,101.25,0.09,0,2,47.89473684210526,27.63157894736842,1.105263157894737,0.0,0.0,236.06666666666666,87.73333333333333,0.0,31.584210526315786,39.04666666666666,297.46842105263164,0.0,24.838
12,SHOCKEY,32.608,-116.406,1999,10,1416.33,2.52,464.94,939.24,9.63,0,0,39.15384615384615,23.0,0.15384615384615385,0.0,0.2857142857142857,232.57142857142858,72.14285714285714,0.0,18.653846153846153,38.964285714285715,179.8846153846154,0.0,24.195714285714285
13,INKOPAH,32.609,-116.057,2007,6,456.12,76.32,330.66,48.96,0.09,0,1,23.0,9.0,1.0,3.6219934355604733,1.0,245.75,98.75,69.93284063216659,33.8,42.224999999999994,87.2,374.4655954594603,25.4125
14,BORDER 3,32.611,-116.572,2016,6,3210.48,70.65,2773.89,363.06,2.88,0,0,47.714285714285715,29.785714285714285,4.428571428571429,3.6219934355604733,0.0,259.61538461538464,88.15384615384616,69.93284063216659,39.1,42.8,399.0214285714286,374.4655954594603,25.52692307692308
15,BARRETT,32.617,-116.669,1991,6,510.57,3.69,350.01,156.6,0.27,0,2,43.642857142857146,29.785714285714285,7.142857142857143,0.0,0.0,232.77777777777777,80.77777777777777,0.0,103.60714285714286,39.022222222222226,588.6857142857143,0.0,24.577777777777776
16,SHOCKEY,32.618,-116.335,2012,9,1079.46,253.89,213.66,528.39,83.52,0,2,53.333333333333336,29.333333333333332,1.5833333333333333,3.6219934355604733,0.0,254.42857142857142,95.78571428571429,69.93284063216659,40.71666666666666,40.37857142857143,333.6666666666667,374.4655954594603,25.32357142857143
17,MINE/OTAY,32.621,-116.849,2003,10,15058.26,20.07,3457.71,7334.28,4239.81,0,0,40.9,17.2,1.6,0.0,0.0,221.16666666666666,16.666666666666668,0.0,35.61,35.81666666666667,218.35,0.0,23.116666666666664
18,BARRETT,32.633,-116.668,2000,6,620.82,0.09,229.59,348.12,43.02,0,0,44.04347826086956,22.695652173913043,1.391304347826087,0.0,0.0,255.91666666666666,91.91666666666667,0.0,30.460869565217394,40.14166666666667,232.84782608695656,0.0,25.744999999999994
19,HARRIS,32.646,-116.771,2007,10,36526.86,128.43,21346.38,11640.87,3380.94,0,4,27.666666666666668,15.333333333333334,0.3333333333333333,0.0,0.0,267.25,92.75,0.0,22.96666666666667,42.65,164.96666666666667,0.0,26.249999999999996
20,GATE,32.654,-116.829,2017,5,917.19,0.0,58.68,820.17,38.34,0,1,35.09090909090909,16.272727272727273,3.8181818181818183,3.6219934355604733,0.0,274.57894736842104,51.0,69.93284063216659,56.01818181818182,41.0,380.01304347826084,374.4655954594603,24.980526315789472
21,PROCTOR,32.682,-116.886,1984,4,1222.2,0.0,300.96,691.38,229.86,0,1,29.375,16.875,2.0,0.0,3.138077881268154,194.99819191814728,61.23320956669523,0.0,30.45,39.51175228921307,240.9625,0.0,21.800804610486804
22,HONEY,32.683,-116.806,1996,1,1285.11,0.0,48.15,961.56,274.23,0,3,46.0,26.0,5.0,0.0,3.138077881268154,194.99819191814728,61.23320956669523,0.0,54.9,39.51175228921307,389.7,0.0,21.800804610486804
23,PROCTOR,32.692,-116.918,1999,9,626.4,0.0,368.19,254.16,3.69,0,0,27.0,14.0,0.0,0.0,0.0,269.0,53.0,0.0,19.3,40.6,120.8,0.0,25.84
24,OLD 2,32.693,-116.367,2012,6,428.58,132.3,57.15,204.21,34.92,0,0,53.90909090909091,29.181818181818183,1.4545454545454546,3.6219934355604733,0.0,254.46153846153845,95.92307692307692,69.93284063216659,39.709090909090904,40.407692307692315,328.7272727272728,374.4655954594603,25.27
25,MILLER,32.699,-116.927,1985,6,3160.35,91.71,2505.78,553.05,8.91,0,0,32.0,19.0,3.0,0.0,3.138077881268154,194.99819191814728,61.23320956669523,0.0,61.0,39.51175228921307,297.2,0.0,21.800804610486804
26,HORSE,32.717,-116.622,2006,7,6764.4,1.44,342.54,4391.64,2028.78,0,0,29.0,27.0,0.0,3.6219934355604733,0.0,261.4,105.8,69.93284063216659,22.4,43.0,244.5,374.4655954594603,26.082
27,VALLEY,32.7369641,-116.6890363,2020,9,6573.15,3.42,689.76,2678.49,3201.48,0,0,46.36363636363637,29.636363636363637,2.1363636363636362,3.6219934355604733,0.0,241.47368421052633,83.36842105263158,69.93284063216659,37.404545454545456,44.61578947368421,331.3636363636364,374.4655954594603,24.90105263157895
28,MANZANITA,32.749,-116.31,1992,7,442.71,0.81,117.18,278.28,46.44,0,0,48.21052631578947,32.21052631578947,5.842105263157895,0.0,3.138077881268154,194.99819191814728,61.23320956669523,0.0,46.58947368421053,39.51175228921307,491.6947368421053,0.0,21.800804610486804
29,PINE,32.786,-116.534,2007,9,932.04,0.72,201.42,491.13,238.77,0,0,38.0,31.0,4.0,4.0,1.6363636363636365,201.1818181818182,43.09090909090909,76.0,88.10000000000001,39.91818181818181,442.59999999999997,301.0,21.249090909090906
30,LOVELAND,32.789,-116.73,1992,7,784.71,4.14,252.0,507.51,21.06,0,0,52.22222222222222,37.55555555555556,8.11111111111111,0.0,3.138077881268154,194.99819191814728,61.23320956669523,0.0,54.93333333333334,39.51175228921307,586.1777777777777,0.0,21.800804610486804
31,VIEJAS,32.797,-116.735,2001,1,4427.82,8.1,3077.1,1319.76,22.86,0,5,48.48,29.24,1.0,0.0,0.0,235.0,88.0,0.0,36.608000000000004,38.3,320.42,0.0,23.91
32,UNNAMED,32.81,-116.355,1989,6,747.09,1.17,106.92,512.28,126.72,0,0,30.705882352941178,18.88235294117647,1.0588235294117647,0.25,0.5,254.0,92.5,4.0,30.629411764705885,41.760000000000005,176.44117647058823,15.9375,25.273
33,ASSIST 78,32.821,-117.034,1988,9,415.26,0.09,174.6,234.45,6.12,0,0,24.88235294117647,16.88235294117647,2.9411764705882355,0.0,0.0,269.0,15.0,0.0,42.699999999999996,42.2,261.9117647058824,0.0,24.04
34,TROY,32.826,-116.392,2002,6,517.77,2.07,44.01,309.15,162.54,0,0,34.4,20.2,1.6,0.6,0.25,219.0625,73.375,30.8,36.9,39.493750000000006,228.71999999999997,55.2,23.828125
35,LAGUNA II,32.849,-114.475,1989,5,780.21,82.62,264.51,278.37,145.62,0,0,7.92,4.64,1.64,0.0,0.0,315.4230769230769,199.34615384615384,0.0,78.12800000000001,46.1576923076923,148.704,0.0,32.22038461538462
36,MITTRY,32.852,-114.458,2003,3,54.81,10.62,11.97,28.35,3.87,0,3,16.454545454545453,6.409090909090909,0.045454545454545456,0.0,0.0,320.3181818181818,174.9090909090909,0.0,16.681818181818173,46.99545454545455,69.37272727272729,0.0,31.61090909090909
37,THING 2,32.857,-116.386,1989,7,1881.72,6.48,232.83,628.11,1003.32,0,0,38.888888888888886,25.333333333333332,2.888888888888889,2.0,4.090909090909091,193.8181818181818,28.181818181818183,32.0,45.67222222222222,37.209090909090904,301.90555555555557,127.5,20.818181818181817
38,ASSIST 79,32.89,-117.01,1987,6,828.9,0.18,626.85,200.43,1.44,0,0,48.77777777777778,30.77777777777778,3.3333333333333335,0.0,0.0,247.0,16.0,0.0,42.22222222222223,42.2,396.6111111111111,0.0,23.32
39,ROCOSO,32.892,-116.98,1994,1,902.97,0.0,878.76,23.76,0.0,0,5,56.14283365876301,36.1994151940461,5.518378384741276,3.6219934355604733,3.138077881268154,194.99819191814728,61.23320956669523,69.93284063216659,54.812286799367186,39.51175228921307,548.5262273578717,374.4655954594603,21.800804610486804
40,MONTE,32.894,-116.817,2010,8,410.58,27.09,60.75,318.42,4.23,0,0,57.68,39.56,8.92,0.0,0.0,218.11764705882354,28.470588235294116,0.0,72.084,40.19411764705882,630.284,0.0,22.368823529411763
41,LAGUNA 100,32.896,-116.425,1999,8,2079.54,27.09,895.14,885.06,270.99,0,0,38.0,31.0,2.0,9.0,1.0833333333333333,178.33333333333334,18.0,279.0,47.20000000000001,34.599999999999994,345.70000000000005,919.0,19.82333333333333
42,SYCAMORE,32.91,-117.014,1995,7,865.53,0.0,272.34,516.96,76.23,0,0,50.06666666666667,32.8,5.866666666666666,0.0,0.0,267.0,24.0,0.0,52.77333333333333,37.199999999999996,490.82000000000005,0.0,24.229999999999997
43,EL MONTE,32.914,-116.782,1995,8,3433.32,34.47,339.39,2063.07,996.3,0,0,54.5,39.78125,6.84375,0.0,0.0,240.0,63.0,0.0,88.959375,38.9,677.1,0.0,24.62
44,CHARIOT,32.928,-116.458,2013,7,2680.65,28.17,656.01,1497.87,496.98,0,0,46.2,30.066666666666666,3.8,4.0,1.0606060606060606,176.36363636363637,25.727272727272727,178.0,38.99666666666667,37.00000000000001,427.10666666666657,407.0,19.82545454545454
45,SYCAMORE,32.932,-116.947,1985,7,409.32,23.13,285.75,99.99,0.45,0,0,37.578947368421055,23.68421052631579,3.0526315789473686,0.0,3.138077881268154,194.99819191814728,61.23320956669523,1.7777777777777777,60.20526315789474,39.51175228921307,325.40526315789475,1.7777777777777777,21.800804610486804
46,CEDAR,32.939,-116.766,2003,10,108600.03,1465.56,24484.32,50163.66,32405.22,0,0,56.14283365876301,36.1994151940461,5.518378384741276,0.0,0.0,249.0,110.0,0.0,54.812286799367186,40.6,548.5262273578717,0.0,25.81
47,BUTTERFIELD,32.941,-116.431,1995,6,2900.25,162.0,642.69,1911.24,180.54,0,0,66.71428571428571,47.285714285714285,14.142857142857142,3.2142857142857144,0.0,170.45454545454547,27.818181818181817,114.42857142857143,158.80714285714285,38.86363636363637,1215.392857142857,325.2857142857143,19.94818181818182
48,BOWLES,32.945,-116.935,1984,9,1244.16,49.59,25.02,1169.55,0.0,0,1,40.875,21.5625,2.4375,0.0,3.138077881268154,194.99819191814728,61.23320956669523,0.0,33.506249999999994,39.51175228921307,261.29999999999995,0.0,21.800804610486804
49,CAPTAIN,32.948,-116.747,1986,7,738.36,0.09,638.46,99.18,0.63,0,0,41.172413793103445,24.20689655172414,3.413793103448276,0.0,0.0,269.52,57.36,0.0,61.68275862068966,38.284000000000006,379.6793103448277,0.0,25.421599999999994
50,WILDCAT,32.968,-116.851,1998,8,1464.84,2.43,587.25,825.39,49.77,0,0,56.14283365876301,36.1994151940461,5.518378384741276,3.6219934355604733,3.138077881268154,194.99819191814728,61.23320956669523,69.93284063216659,54.812286799367186,39.51175228921307,548.5262273578717,374.4655954594603,21.800804610486804
51,POWAY,32.973,-116.95,1995,8,704.43,0.45,50.85,422.01,231.12,0,0,44.42857142857143,31.857142857142858,6.857142857142857,0.0,0.0,229.0,77.0,0.0,77.79999999999998,41.10000000000001,640.9285714285713,0.0,25.100000000000005
52,EAGLE,32.979,-116.748,1993,5,2340.72,576.72,1531.98,215.46,16.56,0,0,56.14283365876301,36.1994151940461,5.518378384741276,1.0,3.138077881268154,194.99819191814728,61.23320956669523,25.0,54.812286799367186,39.51175228921307,548.5262273578717,25.0,21.800804610486804
53,FERGUSONLK,32.999,-114.505,1987,5,475.2,31.32,61.65,381.69,0.09,0,1,18.083333333333332,7.25,0.5,0.0,0.0,313.12,180.56,0.0,23.379166666666666,45.455999999999996,89.21666666666668,0.0,31.042399999999997
54,BERNARDO,33.0,-117.157,2014,5,616.05,5.13,305.46,297.27,5.13,0,0,31.157894736842106,18.94736842105263,0.5263157894736842,3.6219934355604733,0.0,297.84615384615387,52.61538461538461,69.93284063216659,26.43157894736842,40.44615384615385,209.71578947368423,374.4655954594603,26.076153846153844
55,FERGUSON,33.007,-114.502,1989,5,453.87,75.69,188.55,176.67,12.6,0,1,7.2,4.4,1.44,0.0,0.0,313.5416666666667,198.16666666666666,0.0,69.796,46.14166666666667,131.644,0.0,32.15791666666667
56,GENERAL,33.041,-116.498,2013,5,578.88,2.61,253.98,320.67,1.35,0,0,43.121212121212125,28.21212121212121,3.6363636363636362,3.7777777777777777,0.9722222222222222,184.47222222222223,35.0,168.11111111111111,39.35454545454545,37.7138888888889,400.91515151515154,384.3888888888889,20.49361111111112
57,OLD COACH,33.042,-117.014,1993,11,732.78,41.85,374.67,257.04,44.64,0,0,45.0,31.071428571428573,9.0,0.0,0.0,280.0,33.0,0.0,62.050000000000004,37.8,606.9714285714284,0.0,25.29
58,BANNER,33.053,-116.45,2012,5,2173.05,716.4,435.15,976.95,30.51,0,1,47.5,31.40625,3.59375,0.0,0.5588235294117647,206.41176470588235,49.35294117647059,0.0,33.58125,37.88235294117648,426.065625,0.0,22.274117647058823
59,ISLAND LAKE,33.055,-114.655,2013,5,232.83,7.02,29.16,104.4,88.65,0,0,20.90909090909091,8.181818181818182,0.8181818181818182,0.0,0.0,312.84615384615387,191.46153846153845,0.0,32.21818181818182,48.26923076923076,95.14545454545454,0.0,31.652307692307684
60,PAINT,33.058,-117.144,1990,9,1255.86,59.67,503.55,539.46,143.55,0,9,40.0,28.0,0.0,0.0,0.0,262.0,49.0,0.0,23.600000000000005,39.39999999999999,269.59999999999997,0.0,25.45
61,GREAT,33.06,-116.502,2011,10,914.58,323.46,108.27,340.83,140.49,0,7,48.607142857142854,36.964285714285715,7.428571428571429,0.0,1.6551724137931034,160.0344827586207,19.379310344827587,0.0,80.77142857142857,36.06206896551725,618.3714285714286,0.0,18.856206896551722
62,WITCH,33.079,-116.766,2007,10,67648.14,1317.78,35112.51,26069.49,5025.96,0,0,35.44,22.52,1.08,0.0,0.0,251.0,88.93333333333334,0.0,69.01599999999999,41.980000000000004,297.452,0.0,25.02066666666667
63,DEL DIOS,33.084,-117.13,1997,9,488.7,15.93,70.02,222.93,178.29,0,0,41.0,27.0,5.0,0.0,3.138077881268154,194.99819191814728,61.23320956669523,0.0,54.6,39.51175228921307,348.59999999999997,0.0,21.800804610486804
64,HARMONY,33.095,-117.191,1996,10,3772.71,22.86,1649.34,1554.57,535.59,0,0,37.07692307692308,23.076923076923077,3.0,0.0,0.0,278.38461538461536,56.69230769230769,0.0,48.03076923076923,40.67692307692308,316.70000000000005,0.0,25.938461538461542
65,SAN DIEGO COMPLEX,33.11,-117.15,2014,5,878.04,0.18,405.27,403.2,56.88,0,0,31.476190476190474,18.904761904761905,0.5238095238095238,3.6219934355604733,0.0,300.57142857142856,64.85714285714286,69.93284063216659,27.128571428571437,40.857142857142854,211.27142857142857,374.4655954594603,26.62714285714286
66,GUEJITO,33.12,-116.953,1993,10,6936.39,381.96,2755.8,2224.62,1550.52,0,0,45.0,30.6,9.0,0.0,0.0,280.0,33.0,0.0,57.98,37.8,597.4799999999999,0.0,25.29
67,FELIPE,33.12,-116.542,2013,5,1198.26,0.09,166.23,999.18,32.76,0,0,35.432432432432435,23.972972972972972,3.2162162162162162,3.7777777777777777,0.0,213.46153846153845,67.74358974358974,168.11111111111111,40.9972972972973,40.300000000000004,345.13513513513516,384.3888888888889,22.864102564102566
68,STEWART,33.138,-116.495,2012,8,3844.8,1123.38,884.7,1639.71,147.24,0,0,42.2,27.125,2.875,0.0,0.4634146341463415,229.6829268292683,77.1219512195122,0.0,30.665,39.619512195121956,359.27250000000004,0.0,24.166341463414632
69,BODEN,33.146,-116.896,1993,5,576.54,4.68,163.44,288.18,119.97,0,0,49.0,41.0,14.0,0.0,0.0,234.0,60.0,0.0,131.29999999999998,40.0,1333.2000000000003,0.0,23.66
70,PINES,33.146,-116.574,2002,7,26474.04,487.62,12597.48,9218.88,3943.35,0,0,28.13888888888889,18.22222222222222,4.305555555555555,2.638888888888889,0.47619047619047616,235.9047619047619,97.57142857142857,78.66666666666667,49.40833333333335,41.4952380952381,299.6194444444444,180.94444444444446,25.691428571428567
71,GRADE,33.181,-117.042,1987,10,892.71,2.34,333.09,512.73,44.55,0,0,52.421052631578945,32.1578947368421,2.0,0.0,0.0,262.0,23.0,0.0,37.421052631578945,40.6,390.73157894736846,0.0,24.47
72,SECOND,33.182,-116.832,1994,6,2164.41,0.72,608.67,1458.99,96.03,0,0,49.18181818181818,33.45454545454545,4.454545454545454,0.0,1.6842105263157894,191.89473684210526,60.26315789473684,0.0,78.85000000000001,39.59473684210527,541.5181818181818,0.0,21.41263157894737
73,WILSON,33.191,-116.462,2012,8,4875.39,1460.61,993.69,2225.25,8.55,0,0,40.96969696969697,24.606060606060606,1.5757575757575757,0.0,0.5588235294117647,238.6764705882353,87.44117647058823,0.0,30.063636363636363,40.220588235294116,311.1363636363636,0.0,24.914999999999996
74,MORRETTIS,33.197,-116.66,1990,6,1909.44,1.44,358.29,943.38,606.33,0,0,49.6875,37.65625,5.25,3.09375,1.6,221.13333333333333,69.66666666666667,59.375,48.378125,39.75333333333333,482.23125,223.5625,22.970000000000002
75,PARADISE,33.204,-116.916,2003,10,22661.91,123.03,5458.59,9642.24,7404.93,0,0,56.14283365876301,36.1994151940461,5.518378384741276,3.0,0.0,256.0,100.0,127.0,54.812286799367186,40.0,729.6,305.0,25.79
76,MATAGUAY,33.216,-116.651,2004,7,3633.93,0.36,238.23,2009.97,1385.37,0,0,50.0,33.0,8.0,0.0,0.0,225.0,84.21428571428571,0.0,101.1,40.550000000000004,723.2,0.0,24.002857142857142
77,GRADE,33.222,-116.439,1993,6,663.3,13.5,249.12,376.47,1.62,0,0,56.14283365876301,36.1994151940461,5.518378384741276,0.5666666666666667,3.138077881268154,194.99819191814728,61.23320956669523,14.166666666666666,54.812286799367186,39.51175228921307,548.5262273578717,14.166666666666666,21.800804610486804
78,RINCON,33.258,-116.96,1996,10,921.6,0.63,9.81,905.31,5.76,0,7,34.52173913043478,25.782608695652176,9.26086956521739,0.0,2.823529411764706,164.0,20.88235294117647,5.565217391304348,101.6086956521739,34.72941176470589,689.6,9.043478260869565,19.28882352941176
79,LA JOLLA,33.273,-116.792,1999,9,2926.53,3.96,422.28,859.59,1640.7,0,1,43.666666666666664,26.62962962962963,1.1851851851851851,9.481481481481481,1.103448275862069,197.6551724137931,42.724137931034484,135.7037037037037,29.58888888888889,36.2551724137931,279.27037037037036,1102.8148148148148,21.346896551724136
80,NOVEMBER,33.274,-117.332,2008,10,1524.06,1.71,1401.21,101.88,18.27,0,0,30.210526315789473,20.473684210526315,3.3157894736842106,0.0,0.0,220.25,16.75,0.0,59.54736842105261,36.375,340.42105263157896,0.0,22.5225
81,THREE SLASHES,33.275,-114.703,2011,8,803.97,2.61,33.57,167.58,598.05,0,0,15.285714285714286,10.0,1.0,0.0,0.0,292.3636363636364,171.8181818181818,0.0,30.814285714285717,47.045454545454554,106.87142857142858,0.0,30.693636363636358
82,UNNAMED,33.277,-117.401,1989,7,800.37,23.67,652.05,99.18,24.48,0,0,27.714285714285715,14.380952380952381,0.0,0.0,0.0,158.66666666666666,9.761904761904763,0.0,18.59047619047619,36.499999999999986,96.05238095238096,0.0,21.300952380952385
83,LILAC 5,33.299,-117.203,2017,12,1683.45,27.45,653.67,805.23,168.12,0,0,40.875,18.4375,4.8125,3.6219934355604733,0.0,257.38461538461536,24.76923076923077,69.93284063216659,70.84375,41.80769230769231,370.85625000000005,374.4655954594603,23.866153846153846
84,POOMACHA,33.3,-116.92,2007,10,19220.76,64.35,7459.83,7114.77,4576.32,0,0,40.0,25.0,1.0,2.6666666666666665,0.0,254.33333333333334,98.66666666666667,101.33333333333333,103.6,42.144444444444446,386.9,219.33333333333334,25.421111111111113
85,JULIET,33.301,-117.288,2008,10,953.91,0.63,737.19,212.13,0.54,0,0,37.06666666666667,19.4,3.4,0.0,0.0,223.25,29.25,0.0,43.4,37.35,341.8133333333334,0.0,23.044999999999998
86,EAGLE,33.314,-116.478,2011,7,5967.81,1919.7,2700.45,1115.82,9.72,0,1,52.64705882352941,36.1764705882353,4.764705882352941,0.0,0.9444444444444444,160.05555555555554,21.11111111111111,0.0,77.57058823529411,36.099999999999994,553.7882352941177,0.0,18.92777777777778
87,PULGAS,33.319,-117.391,2014,5,6046.47,9.45,1890.09,3747.87,393.3,0,0,27.842105263157894,15.421052631578947,1.2105263157894737,0.0,0.0,167.0,0.0,0.0,34.77894736842104,29.399999999999995,183.0421052631579,0.0,20.56
88,CIBOLA,33.323,-114.705,2006,7,640.35,30.69,19.17,454.32,132.84,0,1,11.0,5.25,1.5,0.0,0.0,314.0,170.0,0.0,32.275000000000006,48.624999999999986,79.19999999999999,0.0,31.357499999999995
89,UNNAMED,33.324,-116.656,2003,6,1098.99,0.09,515.43,574.11,9.36,1,0,56.14283365876301,36.1994151940461,5.518378384741276,3.0,0.0,215.5,98.5,127.0,54.812286799367186,40.8,729.6000000000001,305.0,24.225
90,UNNAMED,33.333,-117.394,1998,7,692.55,0.0,157.05,523.62,10.35,0,0,78.0,43.0,8.0,0.0,0.0,203.0,12.0,0.0,55.6,37.8,648.6,0.0,21.809999999999995
91,UNNAMED,33.336,-117.397,2005,9,603.27,0.54,328.05,272.88,0.81,0,0,42.266666666666666,23.533333333333335,3.4,0.0,0.0,223.71428571428572,15.857142857142858,0.0,43.41333333333333,36.971428571428575,401.9800000000001,0.0,22.60571428571429
92,WARNER,33.339,-116.725,1995,10,1082.43,3.06,127.17,396.72,555.48,0,0,50.46666666666667,40.53333333333333,11.166666666666666,0.0,2.3703703703703702,182.11111111111111,43.0,0.0,166.82333333333332,38.94074074074074,1165.6433333333337,0.0,20.720000000000006
93,ALISO,33.343,-117.362,2010,7,1319.85,0.0,233.1,902.43,182.61,0,0,57.94444444444444,37.05555555555556,6.333333333333333,0.0,0.0,73.875,2.0625,0.0,67.38333333333335,33.118750000000006,550.4888888888888,0.0,18.806249999999995
94,PALOMAR,33.345,-116.929,1987,10,4150.62,2.25,1515.87,1667.25,965.25,0,0,39.78260869565217,30.347826086956523,8.0,1.8666666666666667,7.6521739130434785,173.1304347826087,15.869565217391305,59.266666666666666,79.02608695652174,34.13913043478262,521.3451612903226,213.26666666666668,19.204347826086952
95,AMMO FIRE,33.346,-117.472,2007,10,7346.07,23.94,2201.49,4218.75,895.32,0,0,57.0,17.0,1.0,0.0,0.0,232.33333333333334,19.833333333333332,0.0,68.3,38.25,169.73333333333332,0.0,22.77
96,HORNO,33.346,-117.461,2015,8,628.38,0.0,449.37,170.55,8.01,0,0,37.05882352941177,16.58823529411765,1.0588235294117647,3.6219934355604733,0.0,178.46666666666667,2.7333333333333334,69.93284063216659,27.752941176470586,36.24666666666667,161.7235294117647,374.4655954594603,21.12866666666667
97,UNNAMED,33.357,-116.823,1988,6,563.94,0.0,247.95,243.18,72.81,0,0,30.142857142857142,23.82857142857143,3.3142857142857145,0.9142857142857143,1.7777777777777777,196.14814814814815,39.25925925925926,58.05714285714286,72.81142857142856,35.28518518518518,377.10857142857145,102.4,21.03444444444444
98,TOMAHAWK,33.358,-117.285,2014,5,2193.39,0.54,542.7,1518.21,127.8,0,0,29.5,18.61111111111111,1.5555555555555556,0.0,0.0,271.3333333333333,31.833333333333332,0.0,31.305555555555557,38.81666666666666,210.29999999999998,0.0,24.675
99,ISLAND,33.359,-118.364,2007,5,2001.33,0.0,666.27,1131.12,194.49,0,0,17.0,12.0,0.0,0.0,3.138077881268154,194.99819191814728,61.23320956669523,0.0,22.1,39.51175228921307,117.7,0.0,21.800804610486804
100,DELUZ,33.362,-117.314,2013,10,953.19,14.04,217.98,565.92,152.37,0,3,33.11764705882353,17.88235294117647,1.0,0.0,0.0,257.0,14.714285714285714,0.0,32.48235294117647,37.01428571428572,173.44117647058823,0.0,23.212857142857143
101,PENDLETON COMPLEX,33.364,-117.418,2018,7,1199.7,0.0,754.02,401.67,39.24,0,0,32.4375,15.9375,2.0625,3.6219934355604733,0.0,150.375,1.3125,69.93284063216659,65.6875,31.59375,238.125,374.4655954594603,20.305625
102,SHEEP,33.374,-116.518,1996,4,544.41,117.27,128.88,233.37,64.71,0,0,26.615384615384617,16.692307692307693,1.1538461538461537,0.0,0.058823529411764705,299.8235294117647,159.94117647058823,0.0,35.176923076923075,45.9,184.87307692307695,0.0,29.94470588235294
103,INDIA,33.381,-117.318,2004,5,864.9,98.46,189.72,497.52,78.39,0,0,50.0,27.0,5.0,1.0,0.0,206.2,15.8,406.0,52.8,37.54,380.38,406.0,22.060000000000002
104,RICE,33.384,-117.18,2007,10,4053.87,35.37,2218.05,1310.22,475.47,0,0,34.0,17.0,3.0,0.0,0.0,274.0,48.0,0.0,50.8,43.9,257.0,0.0,24.79
105,COYOTE,33.388,-116.582,2003,7,7776.09,24.57,1472.76,4113.27,2164.5,0,0,27.0,13.0,0.0,0.0,0.0,296.53333333333336,163.93333333333334,0.0,16.800000000000004,47.3,118.70000000000002,0.0,30.139999999999997
106,CHIHUAHUA 2,33.39,-116.721,2012,8,857.25,153.0,88.02,580.68,35.55,0,0,43.0,35.0,7.0,11.0,0.0,180.35294117647058,15.764705882352942,254.0,50.8,33.65882352941176,564.4,952.0,19.845294117647057
